free_text,label_id,free_text_clean
Lại Hợp Sâm wtf ?????,1,lại hợp sâm what the f
Lâu lâu share lại để qua dich bắt còng đau no lại. Khỏi về việt nam nhe m,0,lâu lâu share lại để qua dich bắt còng đau no lại khỏi về việt nam nhe m
Đoàn Duy Diện xin địa chỉ bro ưiiii 🤣🤣🤣,0,đoàn duy diện xin địa chỉ bạn ưii
em lập xong cho thầy r thầy ơi,0,em lập xong cho thầy rồi thầy ơi
HÀ nội đó niềm tin yêu hi vọng của núi sông hôm nay và mai sau,0,ha nô i đo niê m tin yêu hi vo ng cu a nu i sông hôm nay va mai sau
Em chỉ tin mỗi con Susan của thầy thôi,0,em chỉ tin mỗi con susan của thầy thôi
"Ra rả phát biểu làm như cương quyết bảo vệ môi trường lắm, nhưng tau vẫn cho nhiệt điện vào nhé tụi bay làm éo gì đc =))) đúng là đừng nghe những gì chúng nói",1,ra rả phát biểu làm như cương quyết bảo vệ môi trường lắm nhưng tau vẫn cho nhiệt điện vào nhé tụi bay làm éo gì được đúng là đừng nghe những gì chúng nói
Về quê làm vlog đi thầy !!!,0,về quê làm vlog đi thầy
"đúng rồi, thế giới này chỗ nào cũng núp để bắn hết đấy",0,đúng rồi thế giới này chỗ nào cũng núp để bắn hết đấy
NT Lý trend nha bạn iuuuuu,0,nhắn tin lý trend nha bạn iuu
Nợ xấu chồng chất,0,nợ xấu chồng chất
nghệ đẹp a ơi,0,nghệ đẹp anh ơi
Má 4h sáng nghe kể cũng phiêu lắm...thôi đéo nghe 🤭🤭sợ vl,0,má 4h sáng nghe kể cũng phiêu lắm thôi đéo nghe sợ vãi
1 chai 400k chắc lời cỡ 250 cồn ko. Uỗn tiền dữ lắm lun. Giờ gặp livetream của nó lước lẹ,0,1 chai 400k chắc lời cỡ 250 cồn ko uỗn tiền dữ lắm lun giờ gặp livetream của nó lước lẹ
Giờ là tới lúc bọn chúng trả thù người biểu tình,2,giờ là tới lúc bọn chúng trả thù người biểu tình
Xin video sếp,0,xin video sếp
Ông Trần dần chữa bệnh covi ở việt nam mới về đó âm tính rồi chúc mừng chú,0,ông trần dần chữa bệnh covi ở việt nam mới về đó âm tính rồi chúc mừng chú
con nay mat dai,2,con nay mat dai
Còn người ko nhậu thì bằng 100 bưa ăn pk?,0,còn người không nhậu thì bằng 100 bưa ăn pk
Sơn Tùng găm mì ở nhà đánh dota thôi,0,sơn tùng găm mì ở nhà đánh dota thôi
K thích làm công chúa,0,không thích làm công chúa
Tiền tri dự đoán chừng nào hết dịch coviid?,0,tiền tri dự đoán chừng nào hết dịch coviid
Xức xắcccc :3,0,xức xắcc 3
Thu đi để lại lá vàng,0,thu đi để lại lá vàng
Co thi noi hong ai muong noi nha,0,co thi noi hong ai muong noi nha
Ân Phan bún riêu =)),0,ân phan bún riêu
ai mua đâu mà sale :v,0,ai mua đâu mà sale v
ngưng ngược đãi vacxin ha :(,0,ngưng ngược đãi vacxin ha
9 xác,0,9 xác
Hoàng Xuân Tâm cứ nghĩ mình hài hước😏,0,hoàng xuân tâm cứ nghĩ mình hài hước
"Lên chi SG , bà đó ở đài Loan mà tìm gì trời",0,lên chi sài gòn bà đó ở đài loan mà tìm gì trời
"Nghe đâu mỗi năm mất gần hơn 900 tỷ để duy trì cái xác ấy sống mãi trong sự nghiệp cướp bóc của chúng nó. Kinh , xác cha già chúng nó mà chúng nó cũng ko tha, xơi luôn.Bao nhiêu năm rồi nhỉ?!",2,nghe đâu mỗi năm mất gần hơn 900 tỷ để duy trì cái xác ấy sống mãi trong sự nghiệp cướp bóc của chúng nó kinh xác cha già chúng nó mà chúng nó cũng không tha xơi luôn bao nhiêu năm rồi nhỉ
Khang Khang nước người ta bị cả mấy trăm ca còn chưa cho nghỉ,0,khang khang nước người ta bị cả mấy trăm ca còn chưa cho nghỉ
Thằng này đánh trẻ con chấn thương nặng vì nghi cháu lấy trộm vợt cầu lông,0,thằng này đánh trẻ con chấn thương nặng vì nghi cháu lấy trộm vợt cầu lông
Duck Anh mày sv đó,2,duck anh mày sv đó
Châu Nguyễn Phương Duy không ib được,0,châu nguyễn phương duy không nhắn tin được
1 phút thôi mà nhìn kìa,0,1 phút thôi mà nhìn kìa
Anh hứa trong này anh sẽ thực hiện tốt . Chờ anh đi anh sắp về rồi,0,anh hứa trong này anh sẽ thực hiện tốt chờ anh đi anh sắp về rồi
Nguyễn Lâm Nhật Khoa abe của t mà tụi bây mang ra làm trò đùa v😂😂😂😂,0,nguyễn lâm nhật khoa abe của t mà tụi bây mang ra làm trò đùa với
Trần Quốc Hưng mi ko thấy thầy tao cướp red à :)))) cướp đc người ta gọi là levi còn như vậy mới là thầy tao :))),0,trần quốc hưng mi không thấy thầy tao cướp red à cướp được người ta gọi là levi còn như vậy mới là thầy tao
Mang Các giáo án từ việt nam ra thế giới,0,mang các giáo án từ việt nam ra thế giới
Thuyết cc,1,thuyết cc
Ôi thầy em! Thầy là một người thầy rất mẫu mực và tâm huyết. Thầy đưa giáo án từ susan0175 đến giáo án poppy sách phép không sai một phát nào luôn ý :)) Giờ lại đến giáo án dùng tốc biến với phản xạ nhanh như chớp :)) thạt bổ ích làm sao,0,ôi thầy em thầy là một người thầy rất mẫu mực và tâm huyết thầy đưa giáo án từ susan0175 đến giáo án poppy sách phép không sai một phát nào luôn ý giờ lại đến giáo án dùng tốc biến với phản xạ nhanh như chớp thạt bổ ích làm sao
nhờ Thầy đấy thank thầy Thầy Sena :3,0,nhờ thầy đấy thank thầy thầy sena 3
"Dân đen ăn lồn hết rồi, đkm :D",1,dân đen ăn lồn hết rồi đkm d
sống hết mình vì đam mê vì gia đình anh ưi,0,sống hết mình vì đam mê vì gia đình anh ưi
Không sợ địch mạnh sợ đồng đội thiếu suy nghĩ 🤣🤣🤣,0,không sợ địch mạnh sợ đồng đội thiếu suy nghĩ
Yêuu,0,yêuu
Kkkkk chuyện hay,0,kk chuyện hay
"Lê Khánh An đúng á . Trăm người trăm ý , biết làm sao cho vừa lòng thiên hạ",0,lê khánh an đúng á trăm người trăm ý biết làm sao cho vừa lòng thiên hạ
K biết fan cứng có thêm đc tí tỉ lệ nào không nhỉ :v,0,không biết fan cứng có thêm được tí tỉ lệ nào không nhỉ v
Neu đang j từ mình sáng tạo hay.thi đó mới hoi là tai năng cua mình .con này đang tạo lao anh hưởng thế hệ trẻ nhỏ.mo Phật,0,neu đang gì từ mình sáng tạo hay thi đó mới hoi là tai năng cua mình con này đang tạo lao anh hưởng thế hệ trẻ nhỏ mo phật
Thầy ơi em muốn mua khô gà về cho quán bia,0,thầy ơi em muốn mua khô gà về cho quán bia
lý do ai cũng đoán đc mà :3,0,lý do ai cũng đoán được mà 3
Có ai biết paper chính của trần dần ko ạ,0,có ai biết paper chính của trần dần không ạ
Nguyễn Thuận cmt = não đi bạn,2,nguyễn thuận cmt não đi bạn
Đỉnh kout,0,đỉnh kout
Nguyễn Thị Yến Nhi đúng là lưỡi ko xương nhiều đường lắt léo,0,nguyễn thị yến nhi đúng là lưỡi không xương nhiều đường lắt léo
Mày lại ngu nữa!!! Mày bị nhồi sọ đến mức không thể biết đâu là biển đâu là bờ à!? Tội cho m quá,2,mày lại ngu nữa mày bị nhồi sọ đến mức không thể biết đâu là biển đâu là bờ à tội cho m quá
Hoang mang vailunnn,1,hoang mang vailunn
Giả bộ chửi chửi xong cho tiền tụi nó nữa àh.,0,giả bộ chửi chửi xong cho tiền tụi nó nữa àh
Em thì thích nhất môn này của thầy mong thầy ra khoá mới để em học tập thêm ạ,0,em thì thích nhất môn này của thầy mong thầy ra khoá mới để em học tập thêm ạ
Hồi xưa la CƯỚP k à,0,hồi xưa la cướp không à
Lần sau mở nhạc khác đổi vận anh êi :)),0,lần sau mở nhạc khác đổi vận anh êi
Doi lên voi xuống chó,0,doi lên với xuống chó
1 tỷ ko bằng miến dải chùi lozz của chị 3 =)),0,1 tỷ không bằng miến dải chùi lozz của chị 3
._. Cô 3 giàu thấy mẹ hà,0,_ cô 3 giàu thấy mẹ hà
Già mà non,1,già mà non
Ông này ghét trung cộng  mà  hình như ông ta  múa bài quyền  phù cáo  có mùi    Tàu khựa,2,ông này ghét trung cộng mà hình như ông ta múa bài quyền phù cáo có mùi tàu khựa
Hé nhô,0,hé nhô
Áo tùng sói khá nổi ;)),0,áo tùng sói khá nổi
Tiểu tiểu chào abe nhé 😂,0,tiểu tiểu chào abe nhé
Tối nay chơi game gì các bạn nhỏ hay là xem.phim😁,0,tối nay chơi game gì các bạn nhỏ hay là xem phim
"Thực ra ở thành phố kẹt xe quá, mình ko chịu được nên chuyển về quê. Kể ra bác ấy nói cũng có vế đúng",0,thực ra ở thành phố kẹt xe quá mình không chịu được nên chuyển về quê kể ra bác ấy nói cũng có vế đúng
Cayyy =))),0,cayy
"Đã like avt của t bao giờ chưa mà gáy, làm như t cần m dùng face lắm ý",0,đã like avt của t bao giờ chưa mà gáy làm như t cần m dùng face lắm ý
"Đúng rồi mọi thứ mông lung , cứ chìm vào mớ suy nghĩ hỗn độn , và mày ko thể thoát đc :))",0,đúng rồi mọi thứ mông lung cứ chìm vào mớ suy nghĩ hỗn độn và mày không thể thoát được
sung ban không trung dao chat khong dut ma tron so covid,0,sung ban không trung dao chat khong dut ma tron so covid
Dô con di mây ngon lâm ma,2,dô con di mây ngon lâm ma
Thiên đường của cs!,2,thiên đường của cs
Lâm Đình Khoa bô xanh lá,0,lâm đình khoa bô xanh lá
Chỉ là kiếm cơm thôi mà :'(,0,chỉ là kiếm cơm thôi mà
Một người thầy tốt,0,một người thầy tốt
Hay wa,0,hay wa
"Ơ cái địt con mẹ con Vj Chon lon nào vào sủa cái câu ngu ngục vcl =))) mục đích ca sĩ ra bài là để cho khán giả nghe ,thưởng thức. Và các khán giả có quyền nhân xét về sản phẩm đó ? Lại là mấy con fans hâm mộ trẩu tre này",2,ơ cái địt con mẹ con vj chon lon nào vào sủa cái câu ngu ngục vãi mục đích ca sĩ ra bài là để cho khán giả nghe thưởng thức và các khán giả có quyền nhân xét về sản phẩm đó lại là mấy con fans hâm mộ trẩu tre này
Styles chống quê 🌚,0,styles chống quê
Thật ra: đu càng tốn cả triệu đô. Chỉ có ở bọn CS quan lớn tham nhủng. Đưa gđình và con cái du học định cư sung sướng. Chứ bò đỏ umê bưng bô làm gì có cửa đu. Chỉ biết làm con chốt thí cho giặc tàu.. ha ha,2,thật ra đu càng tốn cả triệu đô chỉ có ở bọn cs quan lớn tham nhủng đưa gđình và con cái du học định cư sung sướng chứ bò đỏ umê bưng bô làm gì có cửa đu chỉ biết làm con chốt thí cho giặc tàu ha ha
Độ chưa bao giờ làm chúng tôi thất vọng =))),0,độ chưa bao giờ làm chúng tôi thất vọng
Chúng nó soi mói từ ca si đi đái..ngủ gật..lộ vếu..còn tin quan trọng thì đéo dám đưa tin..truyền thông toàn bọn báo lá cải,2,chúng nó soi mói từ ca si đi đái ngủ gật lộ vếu còn tin quan trọng thì đéo dám đưa tin truyền thông toàn bọn báo lá cải
Yêu em cho đến tận cùng,0,yêu em cho đến tận cùng
nhân vật chính chung lò với John Wich :))),0,nhân vật chính chung lò với john wich
Lam Pham Ai Chau add em nữa chị ưi ❤,0,lam pham ai chau add em nữa chị ưi
Toanggggggggggg 😂,0,toangg
Hoàng Thanh Trung xin clip đi ông,0,hoàng thanh trung xin clip đi ông
"Ak cốp 6 ""m không thoát được đâu con trai tu bi con ti niu""",0,ak cốp 6 m không thoát được đâu con trai tu bị con ti niu
Mặt Lam chí khanh sao ngộ vậy,0,mặt lam chí khanh sao ngộ vậy
Đây là thằng nào dám làm trc mặt t,0,đây là thằng nào dám làm trước mặt t
"Tao góp ý nhé. Ý kiến của tao là như này, tao nói ra nếu có mất lòng anh em thì tao cũng chịu, tại vì tao cũng chỉ muốn đóng góp một chút ý kiến cho anh em biết là tao cũng là một người có ý kiến. Đấy nói tóm lại là tao góp ý vậy thôi còn anh em hiểu hay không thì cũng không biết. Ai đang rảnh thì bỏ vài giây ra để đọc cmt này.... Để biết là tao có ý kiến",0,tao góp ý nhé ý kiến của tao là như này tao nói ra nếu có mất lòng anh em thì tao cũng chịu tại vì tao cũng chỉ muốn đóng góp một chút ý kiến cho anh em biết là tao cũng là một người có ý kiến đấy nói tóm lại là tao góp ý vậy thôi còn anh em hiểu hay không thì cũng không biết ai đang rảnh thì bỏ vài giây ra để đọc cmt này để biết là tao có ý kiến
Tham nhũng bắn bỏ.,0,tham nhũng bắn bỏ
Nga Nguyễn xem ròi à,0,nga nguyễn xem ròi à
2h sáng nghe tới chữ Long Xuyên 5 năm trước mà rợn hết da gà... Do đang ở lx,0,2h sáng nghe tới chữ long xuyên 5 năm trước mà rợn hết da gà do đang ở lx
Lin gà của MU về giao lưu với bộ tộc,0,lin gà của mu về giao lưu với bộ tộc
Chỉ là lại từ bỏ tiền ra cho cày view thôi chứ hay cc j đâu,1,chỉ là lại từ bỏ tiền ra cho cày view thôi chứ hay cc gì đâu
Thế sản phẩm kính đeo mắt này giá bao nhiêu anh ơi =)),0,thế sản phẩm kính đeo mắt này giá bao nhiêu anh ơi
1 con chó điên đã vào sủa và cắn....,1,1 con chó điên đã vào sủa và cắn
Cừi ha ha,0,cừi ha ha
Phạm AnhQuân ae cho xin link stream hôm đó,0,phạm anhquân ae cho xin link stream hôm đó
ăn mì gói <3,0,ăn mì gói 3
Hiệp Đinh các cụ đã bảo là đừng bh cãi nhau vs bọn con gái rùi lại còn,0,hiệp đinh các cụ đã bảo là đừng bh cãi nhau với bọn con gái rùi lại còn
"Ổng tư tưởng tiến bộ lên rồi, hết 3 que r",2,ổng tư tưởng tiến bộ lên rồi hết 3 que rồi
@Fufu Nguyen hihi hk coi la hk đk,0,fufu nguyen hihi không coi la không được
Bùi Cao Minh toang '),0,bùi cao minh toang
"Hiệp Đinh m muốn đi hiến máu giúp họ, nhưg khi hiến rồi mới biết bị nhiễm thì sao hả thằng bàn phím , đầu to mà óc cứ như củ cứt 🤗🤗🤗",2,hiệp đinh m muốn đi hiến máu giúp họ nhưg khi hiến rồi mới biết bị nhiễm thì sao hả thằng bàn phím đầu to mà óc cứ như củ cứt
Tối nay shop acc thầy Ba sẽ có nhiều acc hơn để chúng ta mua :)),0,tối nay shop acc thầy ba sẽ có nhiều acc hơn để chúng ta mua
Vịt Bông vì nước ngoài người ta ý thức hơn đó bạn,0,vịt bông vì nước ngoài người ta ý thức hơn đó bạn
Vô lí nhưng rất thuyết phục!,0,vô lí nhưng rất thuyết phục
Con thương cô lắm. Ai lớp du chu cờ mo 😘,0,con thương cô lắm ai lớp du chu cờ mo
"Thái Dương Nguyễn lúc nhìn thấy giống gái , lúc nhìn giống trai hihi",0,thái dương nguyễn lúc nhìn thấy giống gái lúc nhìn giống trai hihi
Ok tộc trưởng. Chúc lễ vui vẻ,0,được tộc trưởng chúc lễ vui vẻ
Theo thông tin câph nhật thì dòng sông Hương đã đưa 1/2 thí sinh ra xa bờ còn 1/2 còn lại đã bị đè chớt bên tích phân 😌,0,theo thông tin câph nhật thì dòng sông hương đã đưa 1 2 thí sinh ra xa bờ còn 1 2 còn lại đã bị đè chớt bên tích phân
Khởi động để mai tung con bài tấu hài vào =)),0,khởi động để mai tung con bài tấu hài vào
có Tú lo mà,0,có tú lo mà
Được anh ơi,0,được anh ơi
Nhãthi Lê ui xời cà ria cà ria :))),0,nhãthi lê ui xời cà ria cà ria
"Hoàng Yến đây, cánh hoa của bạn trọng thượng và hồ vân",0,hoàng yến đây cánh hoa của bạn trọng thượng và hồ vân
Ông bỏ bê mẹ con tôi hơi bị lâu r đấy. Tùng sói said:)))),0,ông bỏ bê mẹ con tôi hơi bị lâu rồi đấy tùng sói said
Tất khủng long mắt lồi hân hạnh được tài trợ bức ảnh này!!,0,tất khủng long mắt lồi hân hạnh được tài trợ bức ảnh này
Cái việc này làm cho mn bị tối cổ quá nhanh quá nguy hiểm 🙂,0,cái việc này làm cho mọi người bị tối cổ quá nhanh quá nguy hiểm
Ád mỉa mai vc cơ mà tao thích,1,ád mỉa mai vc cơ mà tao thích
Trần Sang óc vật,2,trần sang óc vật
Không có tiền thì stream dưới ao,0,không có tiền thì stream dưới ao
Nguyễn Khánh Quen riết r lại muốn có ny,0,nguyễn khánh quen riết rồi lại muốn có người yêu
Nguyễn Quỳnh Anh đến khổ với ô Tiệp :)),0,nguyễn quỳnh anh đến khổ với ô tiệp
Chưa thấy con đàn bà nào mà xấu như con linh lóc xấu mà còn bị khùng nữa,2,chưa thấy con đàn bà nào mà xấu như con linh lóc xấu mà còn bị khùng nữa
Đặng Lê Nguyên Nguyễn Tấn Quí,0,đặng lê nguyên nguyễn tấn quí
Abe đúng là thật xàm l ;v,2,abe đúng là thật xàm l v
Nguyễn Bảo Trung t cũng ko bt nữa,0,nguyễn bảo trung t cu ng không bình thường nư a
"Haha, làm xong hổng biết có còn nhận ra nhau kkkk",0,haha làm xong hổng biết có còn nhận ra nhau kk
"Người ta da mặt dày, mỡ nhìu đi xe hơi máy lạnh kiếng cách nhiệt",0,người ta da mặt dày mỡ nhìu đi xe hơi máy lạnh kiếng cách nhiệt
Anh tao thấy ngột ngạt quá mà :))),0,anh tao thấy ngột ngạt quá mà
Tội những ng sợ những chi tiết như tao,0,tội những người sợ những chi tiết như tao
Khá giống :))),0,khá giống
"Tiền nhiều làm gì ??? Câu hỏi ấy được rất nhiều bạn trẻ và người lớn đã luôn đặt ra , vâng ngày hôm nay tôi xin được trả lời cho câu hỏi của mọi người là tiền nhiều dùng mua Khô Gà Thầy Ba , khô gà nhà thầy ba , rất ngon , đc xé nhỏ vừa miệng , dưới bà",0,tiền nhiều làm gì câu hỏi ấy được rất nhiều bạn trẻ và người lớn đã luôn đặt ra vâng ngày hôm nay tôi xin được trả lời cho câu hỏi của mọi người là tiền nhiều dùng mua khô gà thầy ba khô gà nhà thầy ba rất ngon được xé nhỏ vừa miệng dưới bà
From Lisa Cailay with love 🥰,0,from lisa cailay with love
Nhận mọi kèo tâm sự nhá ..,0,nhận mọi kèo tâm sự nhá
Thời đại rực rỡ,0,thời đại rực rỡ
a tôi tốn tiền r =)),0,anh tôi tốn tiền rồi
Tui muốn tập này lên tab thịnh hành.,0,tôi muốn tập này lên tab thịnh hành
Mà công nhận cô này xấu ng mà xấu nết thiệt . ng ta gọi là xấu đều là đúng,2,mà công nhận cô này xấu người mà xấu nết thiệt người ta gọi là xấu đều là đúng
Chắc hết dịch là đóng cửa là vừa,0,chắc hết dịch là đóng cửa là vừa
Dương Quỳnh 😂,0,dương quỳnh
Là cô my dù hả thầy,0,là cô my dù hả thầy
Anh đéo phải trình bày,2,anh đéo phải trình bày
"Rất cảm phục những Nhân Sỹ như Chú , canh cánh trong lòng những nỗi niềm với Tổ Quốc , với dân tộc và phải có một lòng can đảm phi thường mới dám chấp bút viết những điều này 👍🏼👍🏼👍🏼",0,rất cảm phục những nhân sỹ như chú canh cánh trong lòng những nỗi niềm với tổ quốc với dân tộc và phải có một lòng can đảm phi thường mới dám chấp bút viết những điều này
Ai nhanh hơn tui,0,ai nhanh hơn tôi
Còn đó nó bị nứng lồn rồi nên nó chọc Ng ta,2,còn đó nó bị nứng lồn rồi nên nó chọc người ta
Minh Khánh đr b bài này t nghe hơi ngứa xíu,1,minh khánh đr bạn bài này t nghe hơi ngứa xíu
1% sức mạnh của team,0,1 sức mạnh của team
Giọng hát hay thiệt mà,0,giọng hát hay thiệt mà
"Nguyễn Thị Thủy Tiên giờ mới thấy có người tỉnh táo. Công ty gì mà có dịch cũng bắt đi làm không cho nv nghỉ gì hết, buồn hết sức :)))",0,nguyễn thị thủy tiên giờ mới thấy có người tỉnh táo công ty gì mà có dịch cũng bắt đi làm không cho nv nghỉ gì hết buồn hết sức
"1 Câu nói của ông Trần Dần kg biết bao nhiêu câu "" Tứt  diên "" và ""ở Đờ "" .",0,1 câu nói của ông trần dần kg biết bao nhiêu câu tứt diên và ở đờ
Bạn bè mà 1 người có ý thức còn 1 ng thì....ý thức nhỏ như trái nho :),2,bạn bè mà 1 người có ý thức còn 1 người thì ý thức nhỏ như trái nho
Cái style nó ngộ💁,0,cái style nó ngộ
Lộ clip bả giả liệu từ lúc 5phut30 ae xem kỹ lại biết lien,0,lộ clip bả giả liệu từ lúc 5phut30 ae xem kỹ lại biết lien
Chúc mừg abe căc hơi to nha !,2,chúc mừg abe căc hơi to nha
Hạnh phúc nhé :))),0,hạnh phúc nhé
Đời cháu đi tiểu,0,đời cháu đi tiểu
Định Cao tính ra 2 ce mình đi trước trend ☺️☺️🤣,0,định cao tính ra 2 ce mình đi trước trend
khịa vãi l = )))),1,khịa vãi l
Nhắm làm lại mẹ tao hk :))) hay lắm mẹ ơi love you ❤️❤️❤️,0,nhắm làm lại mẹ tao không hay lắm mẹ ơi love you
Pótay. Cơm,0,pótay cơm
Cũng cà mau nè p6 m.n đk kênh giúp e với ạ,0,cũng cà mau nè p6 m n được kênh giúp em với ạ
Thâm hết cả hậu!!!,1,thâm hết cả hậu
Con 3 vang ngoc mac ao dam giong quy,2,con 3 vang ngoc mac ao dam giong quy
Thằng việt quá ngu nhưng lại a dua thằng trung cẩu,2,thằng việt quá ngu nhưng lại anh dua thằng trung cẩu
Dc vl anh :))),0,được vãi anh
Nguyễn Vạn Xuân Nguyên ?,0,nguyễn vạn xuân nguyên
Bạo dâm thì chỉ có thg pew thích thôi (trích lời tộc trưởng ),0,bạo dâm thì chỉ có thg pew thích thôi trích lời tộc trưởng
Chuẩn rồi. Bọn nó k có lập trường và định kiến. Loại người như vậy sống cũng éo để làm gì. Đúng sai mà còn k biết thì biết gì ?,2,chuẩn rồi bọn nó không có lập trường và định kiến loại người như vậy sống cũng éo để làm gì đúng sai mà còn không biết thì biết gì
Chắc ko ?,0,chắc không
Huy Germany đúng á giọng nghe khá nhỏ,0,huy germany đúng á giọng nghe khá nhỏ
Xin video vs b,0,xin video với bạn
Bình Võ người sida đâu ai xông pha đi hiến máu 🙂,0,bình võ người sida đâu ai xông pha đi hiến máu
Cô panda đã like + share+ sub,0,cô panda đã like share sub
"Anh phóng viên Hoàng Lân ,lúc phỏng vấn ông TD mà không buồn cười à?",0,anh phóng viên hoàng lân lúc phỏng vấn ông td mà không buồn cười à
Vl.gắt,1,vl gắt
Chụp cái ảnh thôi làm đéo gì đâu mà phiền,1,chụp cái ảnh thôi làm đéo gì đâu mà phiền
Xin nhẹ nha thầy,0,xin nhẹ nha thầy
Quang Luật nghe vẻ ổn bạn êiiiii😂,0,quang luật nghe vẻ ổn bạn êii
Mất lịch sự thì có,1,mất lịch sự thì có
Chuôi con Linh love Chet Chet me no Di nguoi dep oi,2,chuôi con linh love chet chet me no di nguoi dep oi
Có diên ha,0,có diên ha
:DD,0,dd
Game j v thầy,0,game gì với thầy
so dien con nek 0855639826,0,so dien con nek
Cực kì thuyết phục 🤣🤣,0,cực kì thuyết phục
Tuổi trẻ chưa trải sự đời,0,tuổi trẻ chưa trải sự đời
"Óc nó được nhồi đậu phụ thối mà, so sánh như thế là ad sai rồi",1,óc nó được nhồi đậu phụ thối mà so sánh như thế là admin sai rồi
Cố vấn cấp cao cho đàn c hó,2,cố vấn cấp cao cho đàn chị hó
Kinh nghiệm 5 năm học lớp 11 của Sela 😁😁😁,0,kinh nghiệm 5 năm học lớp 11 của sela
Ủa đáng lí con gà phải là Abe chứ :)),0,ủa đáng lí con gà phải là abe chứ
Đc huy hiệu đó để làm gì vậy ae,0,được huy hiệu đó để làm gì vậy ae
Thanh Thanh chăn trần bông như hình mẫu nha b,0,thanh thanh chăn trần bông như hình mẫu nha bạn
"NGUYỄN Anh Tuấn “ Dạ ...Trần Dần là 3/// nhưng mà que đã què nen không còn khả năng xỏ lá nữa  chỉ cái tội bị mắc đường bố nói xàm mà thôi 😁😀🤓”
Mỗi khi thấy lão tôi không thể chửi nửa .............mà chỉ cười tét rốn
Vì coi như xem hài miễn phí vậy mà
😂🤣",2,nguyễn anh tuấn dạ trần dần là 3 nhưng mà que đã què nen không còn khả năng xỏ lá nữa chỉ cái tội bị mắc đường bố nói xàm mà thôi mỗi khi thấy lão tôi không thể chửi nửa mà chỉ cười tét rốn vì coi như xem hài miễn phí vậy mà
Nguyễn Huy Hanh bảnh không biết bọn icm này sớm hơn,0,nguyễn huy hanh bảnh không biết bọn icm này sớm hơn
"Cầu mong chỉ dừng lại con số 38 đừng bao giờ lên 40,chỉ mong nhưng người con dân việt nam hiện đang bị ncov19 mong hết bịnh và nhưng người hiện đang xét nghiệm nghi ngờ đều bị âm tính ncov19 hết ,mong những điều tốt đẹp đếnh vơi con dân Việt Nam ❤️",0,cầu mong chỉ dừng lại con số 38 đừng bao giờ lên 40 chỉ mong nhưng người con dân việt nam hiện đang bị ncov19 mong hết bịnh và nhưng người hiện đang xét nghiệm nghi ngờ đều bị âm tính ncov19 hết mong những điều tốt đẹp đếnh vơi con dân việt nam
Đức Thịnh 😒😒😒😒😒,0,đức thịnh
"Ace nào muốn xem stream mà không có tg xem thì mỗi tối 10h/1h59p (thứ 2/ thứ 7 - chủ nhật nha)kênh Mixi gaming vào like stream hôm sau muốn xem lại thì vào phần đã thích xem lại nhé ,hôm nào đen bị bản quyền thì chịu",0,ace nào muốn xem stream mà không có thời gian xem thì mỗi tối 10h 1h59p thứ 2 thứ 7 chủ nhật nha kênh mixi gaming vào like stream hôm sau muốn xem lại thì vào phần đã thích xem lại nhé hôm nào đen bị bản quyền thì chịu
gầm bàn của anh lại khá là sạch :>,0,gầm bàn của anh lại khá là sạch
đợi em để em có kèo mới thơm hơn anh rồi em sẽ chừ chối anh sau vậy :v kkkk,0,đợi em để em có kèo mới thơm hơn anh rồi em sẽ chừ chối anh sau vậy v kk
Con Linh nó vẫn chứng nào tật nấy . Vì bản chất của nó là vậy. 😏,2,con linh nó vẫn chứng nào tật nấy vì bản chất của nó là vậy
Lú luôn,0,lú luôn
Minh Nguyen lên bài tứ quý 2 3ng còn lại mặt nghệt ra đếm lá,0,minh nguyen lên bài tứ quý 2 3ng còn lại mặt nghệt ra đếm lá
Phúc Hưng h mới thấy,0,phúc hưng giờ mới thấy
Hâhhaaha bó tay,0,hâhhaaha bó tay
số nhà thầy cần =)),0,số nhà thầy cần
Nhìn cái mặt muốn xịt chó cắn,1,nhìn cái mặt muốn xịt chó cắn
Không ai như anh mình du lịch khi chưa nghỉ lễ xong nghỉ lễ thì ở nhà sờ chim,0,không ai như anh mình du lịch khi chưa nghỉ lễ xong nghỉ lễ thì ở nhà sờ chim
Cười lên rồi mọi chuyện sẽ qua 😹😹 de de de de,0,cười lên rồi mọi chuyện sẽ qua de de de de
Anh quên kéo khoá vs đóng cúc nên để vậy đấy.,0,anh quên kéo khoá với đóng cúc nên để vậy đấy
Vì 1 người tên nhung mà hại bit bao nhiu người,2,vì 1 người tên nhung mà hại bit bao nhiu người
"Ủa nó tưởng đăng facebook là ghê gớm hả ta, đăng lên cho ngta chửi thêm à. Đề nghị mọi người unfollow face nó để nó đăng lên rồi tự thủ dâm lấy.",2,ủa nó tưởng đăng facebook là ghê gớm hả ta đăng lên cho người ta chửi thêm à đề nghị mọi người unfollow face nó để nó đăng lên rồi tự thủ dâm lấy
Miễn ship ko bạn?,0,miễn ship không bạn
Gáp pơ Trung mừ ngón from Sa đéc City,0,gáp pơ trung mừ ngón from sa đéc city
Cần lắm những trái tim yêu thương.,0,cần lắm những trái tim yêu thương
Và ĐM chúng nó sáng chế toàn nông dân,1,và đm chúng nó sáng chế toàn nông dân
Có cái áo sọc mặc Hoài vậy thầy,0,có cái áo sọc mặc hoài vậy thầy
"Vay để con cháu trả thôi, khổ thế hệ tương lai nếu cứ tình trạng này",0,vay để con cháu trả thôi khổ thế hệ tương lai nếu cứ tình trạng này
